base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-17T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Dos Santos vs Ivanov,,2018-07-14T00:00:00Z,FINALIZED,"Boise, Idaho",CenturyLink Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-10T00:00:00Z,FINALIZED,,
UFC 226,Live on Pay-Per-View,Miocic vs Cormier,,2018-07-07T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
The Ultimate Fighter Finale,Live on FS1,Tavares vs Adesanya,,2018-07-06T00:00:00Z,FINALIZED,"Las Vegas, NV",Pearl Theatre
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-26T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on UFC FIGHT PASS,Cowboy vs Edwards,,2018-06-23T00:00:00Z,FINALIZED,,Singapore Indoor Stadium
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-19T00:00:00Z,FINALIZED,,
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-12T00:00:00Z,POST_EVENT,,
UFC 225,Live on Pay-Per-View,Whittaker vs Romero 2,,2018-06-09T00:00:00Z,FINALIZED,"Chicago, IL",United Center
UFC Fight Night,Live on FS1,Rivera vs Moraes,,2018-06-01T00:00:00Z,FINALIZED,"Utica, New York",Adirondack Bank Center
UFC Fight Night,Live on FS1,Thompson vs Till,,2018-05-27T00:00:00Z,POST_EVENT,,Echo Arena
